cell_id,intent,archetype,occasion,occasion_archetype,season,gender,formality,time,sample_profile_id
c_00111,occasion_recommendation,classic,gala_dinner,formal_events,spring,female,ceremonial,evening,p_001_classic_female
c_00112,occasion_recommendation,classic,gala_dinner,formal_events,summer,male,ceremonial,evening,p_000_classic_male
c_00113,occasion_recommendation,classic,gala_dinner,formal_events,summer,female,ceremonial,evening,p_001_classic_female
c_00114,occasion_recommendation,classic,gala_dinner,formal_events,autumn,male,ceremonial,evening,p_000_classic_male
c_00115,occasion_recommendation,classic,gala_dinner,formal_events,autumn,female,ceremonial,evening,p_001_classic_female
c_00116,occasion_recommendation,classic,gala_dinner,formal_events,winter,male,ceremonial,evening,p_000_classic_male
c_00117,occasion_recommendation,classic,gala_dinner,formal_events,winter,female,ceremonial,evening,p_001_classic_female
c_00118,occasion_recommendation,classic,award_ceremony,formal_events,spring,male,ceremonial,evening,p_000_classic_male
c_00119,occasion_recommendation,classic,award_ceremony,formal_events,spring,female,ceremonial,evening,p_001_classic_female
c_00120,occasion_recommendation,classic,award_ceremony,formal_events,summer,male,ceremonial,evening,p_000_classic_male
c_00121,occasion_recommendation,classic,award_ceremony,formal_events,summer,female,ceremonial,evening,p_001_classic_female
c_00122,occasion_recommendation,classic,award_ceremony,formal_events,autumn,male,ceremonial,evening,p_000_classic_male
c_00123,occasion_recommendation,classic,award_ceremony,formal_events,autumn,female,ceremonial,evening,p_001_classic_female
c_00124,occasion_recommendation,classic,award_ceremony,formal_events,winter,male,ceremonial,evening,p_000_classic_male
c_00125,occasion_recommendation,classic,award_ceremony,formal_events,winter,female,ceremonial,evening,p_001_classic_female
c_00126,occasion_recommendation,classic,business_dinner,formal_events,spring,male,formal,evening,p_000_classic_male
c_00127,occasion_recommendation,classic,business_dinner,formal_events,spring,female,formal,evening,p_001_classic_female
c_00128,occasion_recommendation,classic,business_dinner,formal_events,summer,male,formal,evening,p_000_classic_male
c_00129,occasion_recommendation,classic,business_dinner,formal_events,summer,female,formal,evening,p_001_classic_female
c_00130,occasion_recommendation,classic,business_dinner,formal_events,autumn,male,formal,evening,p_000_classic_male
c_00131,occasion_recommendation,classic,business_dinner,formal_events,autumn,female,formal,evening,p_001_classic_female
c_00132,occasion_recommendation,classic,business_dinner,formal_events,winter,male,formal,evening,p_000_classic_male
c_00133,occasion_recommendation,classic,business_dinner,formal_events,winter,female,formal,evening,p_001_classic_female
c_00134,occasion_recommendation,classic,festival,festive,spring,male,smart_casual,flexible,p_000_classic_male
c_00135,occasion_recommendation,classic,festival,festive,spring,female,smart_casual,flexible,p_001_classic_female
c_00136,occasion_recommendation,classic,festival,festive,summer,male,smart_casual,flexible,p_000_classic_male
c_00137,occasion_recommendation,classic,festival,festive,summer,female,smart_casual,flexible,p_001_classic_female
c_00138,occasion_recommendation,classic,festival,festive,autumn,male,smart_casual,flexible,p_000_classic_male
c_00139,occasion_recommendation,classic,festival,festive,autumn,female,smart_casual,flexible,p_001_classic_female
c_00140,occasion_recommendation,classic,festival,festive,winter,male,smart_casual,flexible,p_000_classic_male
c_00141,occasion_recommendation,classic,festival,festive,winter,female,smart_casual,flexible,p_001_classic_female
c_00142,occasion_recommendation,classic,diwali,festive,autumn,male,ceremonial,evening,p_000_classic_male
c_00143,occasion_recommendation,classic,diwali,festive,autumn,female,ceremonial,evening,p_001_classic_female
c_00144,occasion_recommendation,classic,holiday_gathering,festive,winter,male,smart_casual,evening,p_000_classic_male
c_00145,occasion_recommendation,classic,holiday_gathering,festive,winter,female,smart_casual,evening,p_001_classic_female
c_00146,occasion_recommendation,classic,beach_day,beach_vacation,spring,male,casual,daytime,p_000_classic_male
c_00147,occasion_recommendation,classic,beach_day,beach_vacation,spring,female,casual,daytime,p_001_classic_female
c_00148,occasion_recommendation,classic,beach_day,beach_vacation,summer,male,casual,daytime,p_000_classic_male
c_00149,occasion_recommendation,classic,beach_day,beach_vacation,summer,female,casual,daytime,p_001_classic_female
c_00150,occasion_recommendation,classic,vacation_dinner,beach_vacation,spring,male,smart_casual,evening,p_000_classic_male
c_00151,occasion_recommendation,classic,vacation_dinner,beach_vacation,spring,female,smart_casual,evening,p_001_classic_female
c_00152,occasion_recommendation,classic,vacation_dinner,beach_vacation,summer,male,smart_casual,evening,p_000_classic_male
c_00153,occasion_recommendation,classic,vacation_dinner,beach_vacation,summer,female,smart_casual,evening,p_001_classic_female
c_00154,occasion_recommendation,classic,travel_day,beach_vacation,spring,male,casual,flexible,p_000_classic_male
c_00155,occasion_recommendation,classic,travel_day,beach_vacation,spring,female,casual,flexible,p_001_classic_female
c_00156,occasion_recommendation,classic,travel_day,beach_vacation,summer,male,casual,flexible,p_000_classic_male
c_00157,occasion_recommendation,classic,travel_day,beach_vacation,summer,female,casual,flexible,p_001_classic_female
c_00158,occasion_recommendation,classic,travel_day,beach_vacation,autumn,male,casual,flexible,p_000_classic_male
c_00159,occasion_recommendation,classic,travel_day,beach_vacation,autumn,female,casual,flexible,p_001_classic_female
c_00160,occasion_recommendation,classic,travel_day,beach_vacation,winter,male,casual,flexible,p_000_classic_male
c_00161,occasion_recommendation,classic,travel_day,beach_vacation,winter,female,casual,flexible,p_001_classic_female
c_00162,occasion_recommendation,classic,first_date,dating,spring,male,smart_casual,evening,p_000_classic_male
c_00163,occasion_recommendation,classic,first_date,dating,spring,female,smart_casual,evening,p_001_classic_female
c_00164,occasion_recommendation,classic,first_date,dating,summer,male,smart_casual,evening,p_000_classic_male
c_00165,occasion_recommendation,classic,first_date,dating,summer,female,smart_casual,evening,p_001_classic_female
c_00166,occasion_recommendation,classic,first_date,dating,autumn,male,smart_casual,evening,p_000_classic_male
c_00167,occasion_recommendation,classic,first_date,dating,autumn,female,smart_casual,evening,p_001_classic_female
c_00168,occasion_recommendation,classic,first_date,dating,winter,male,smart_casual,evening,p_000_classic_male
c_00169,occasion_recommendation,classic,first_date,dating,winter,female,smart_casual,evening,p_001_classic_female
c_00170,occasion_recommendation,classic,date_night,dating,spring,male,smart_casual,evening,p_000_classic_male
c_00171,occasion_recommendation,classic,date_night,dating,spring,female,smart_casual,evening,p_001_classic_female
c_00172,occasion_recommendation,classic,date_night,dating,summer,male,smart_casual,evening,p_000_classic_male
c_00173,occasion_recommendation,classic,date_night,dating,summer,female,smart_casual,evening,p_001_classic_female
c_00174,occasion_recommendation,classic,date_night,dating,autumn,male,smart_casual,evening,p_000_classic_male
c_00175,occasion_recommendation,classic,date_night,dating,autumn,female,smart_casual,evening,p_001_classic_female
c_00176,occasion_recommendation,classic,date_night,dating,winter,male,smart_casual,evening,p_000_classic_male
c_00177,occasion_recommendation,classic,date_night,dating,winter,female,smart_casual,evening,p_001_classic_female
c_00178,occasion_recommendation,classic,anniversary_dinner,dating,spring,male,semi_formal,evening,p_000_classic_male
c_00179,occasion_recommendation,classic,anniversary_dinner,dating,spring,female,semi_formal,evening,p_001_classic_female
c_00180,occasion_recommendation,classic,anniversary_dinner,dating,summer,male,semi_formal,evening,p_000_classic_male
c_00181,occasion_recommendation,classic,anniversary_dinner,dating,summer,female,semi_formal,evening,p_001_classic_female
c_00182,occasion_recommendation,classic,anniversary_dinner,dating,autumn,male,semi_formal,evening,p_000_classic_male
c_00183,occasion_recommendation,classic,anniversary_dinner,dating,autumn,female,semi_formal,evening,p_001_classic_female
c_00184,occasion_recommendation,classic,anniversary_dinner,dating,winter,male,semi_formal,evening,p_000_classic_male
c_00185,occasion_recommendation,classic,anniversary_dinner,dating,winter,female,semi_formal,evening,p_001_classic_female
c_00186,occasion_recommendation,classic,wedding_ceremony,wedding_vibes,spring,male,ceremonial,daytime,p_000_classic_male
c_00187,occasion_recommendation,classic,wedding_ceremony,wedding_vibes,spring,female,ceremonial,daytime,p_001_classic_female
c_00188,occasion_recommendation,classic,wedding_ceremony,wedding_vibes,summer,male,ceremonial,daytime,p_000_classic_male
c_00189,occasion_recommendation,classic,wedding_ceremony,wedding_vibes,summer,female,ceremonial,daytime,p_001_classic_female
c_00190,occasion_recommendation,classic,wedding_ceremony,wedding_vibes,autumn,male,ceremonial,daytime,p_000_classic_male
c_00191,occasion_recommendation,classic,wedding_ceremony,wedding_vibes,autumn,female,ceremonial,daytime,p_001_classic_female
c_00192,occasion_recommendation,classic,wedding_ceremony,wedding_vibes,winter,male,ceremonial,daytime,p_000_classic_male
c_00193,occasion_recommendation,classic,wedding_ceremony,wedding_vibes,winter,female,ceremonial,daytime,p_001_classic_female
c_00194,occasion_recommendation,classic,wedding_engagement,wedding_vibes,spring,male,ceremonial,evening,p_000_classic_male
c_00195,occasion_recommendation,classic,wedding_engagement,wedding_vibes,spring,female,ceremonial,evening,p_001_classic_female
c_00196,occasion_recommendation,classic,wedding_engagement,wedding_vibes,summer,male,ceremonial,evening,p_000_classic_male
c_00197,occasion_recommendation,classic,wedding_engagement,wedding_vibes,summer,female,ceremonial,evening,p_001_classic_female
c_00198,occasion_recommendation,classic,wedding_engagement,wedding_vibes,autumn,male,ceremonial,evening,p_000_classic_male
c_00199,occasion_recommendation,classic,wedding_engagement,wedding_vibes,autumn,female,ceremonial,evening,p_001_classic_female
c_00200,occasion_recommendation,classic,wedding_engagement,wedding_vibes,winter,male,ceremonial,evening,p_000_classic_male
c_00201,occasion_recommendation,classic,wedding_engagement,wedding_vibes,winter,female,ceremonial,evening,p_001_classic_female
c_00202,occasion_recommendation,classic,wedding_reception,wedding_vibes,spring,male,ceremonial,evening,p_000_classic_male
c_00203,occasion_recommendation,classic,wedding_reception,wedding_vibes,spring,female,ceremonial,evening,p_001_classic_female
c_00204,occasion_recommendation,classic,wedding_reception,wedding_vibes,summer,male,ceremonial,evening,p_000_classic_male
c_00205,occasion_recommendation,classic,wedding_reception,wedding_vibes,summer,female,ceremonial,evening,p_001_classic_female
c_00206,occasion_recommendation,classic,wedding_reception,wedding_vibes,autumn,male,ceremonial,evening,p_000_classic_male
c_00207,occasion_recommendation,classic,wedding_reception,wedding_vibes,autumn,female,ceremonial,evening,p_001_classic_female
c_00208,occasion_recommendation,classic,wedding_reception,wedding_vibes,winter,male,ceremonial,evening,p_000_classic_male
c_00209,occasion_recommendation,classic,wedding_reception,wedding_vibes,winter,female,ceremonial,evening,p_001_classic_female
c_00210,occasion_recommendation,classic,sangeet,wedding_vibes,spring,male,ceremonial,evening,p_000_classic_male
c_00211,occasion_recommendation,classic,sangeet,wedding_vibes,spring,female,ceremonial,evening,p_001_classic_female
c_00212,occasion_recommendation,classic,sangeet,wedding_vibes,summer,male,ceremonial,evening,p_000_classic_male
c_00213,occasion_recommendation,classic,sangeet,wedding_vibes,summer,female,ceremonial,evening,p_001_classic_female
c_00214,occasion_recommendation,classic,sangeet,wedding_vibes,autumn,male,ceremonial,evening,p_000_classic_male
c_00215,occasion_recommendation,classic,sangeet,wedding_vibes,autumn,female,ceremonial,evening,p_001_classic_female
c_00216,occasion_recommendation,classic,sangeet,wedding_vibes,winter,male,ceremonial,evening,p_000_classic_male
c_00217,occasion_recommendation,classic,sangeet,wedding_vibes,winter,female,ceremonial,evening,p_001_classic_female
c_00218,occasion_recommendation,classic,mehndi,wedding_vibes,spring,male,ceremonial,daytime,p_000_classic_male
c_00219,occasion_recommendation,classic,mehndi,wedding_vibes,spring,female,ceremonial,daytime,p_001_classic_female
c_00220,occasion_recommendation,classic,mehndi,wedding_vibes,summer,male,ceremonial,daytime,p_000_classic_male
c_00221,occasion_recommendation,classic,mehndi,wedding_vibes,summer,female,ceremonial,daytime,p_001_classic_female
c_00222,occasion_recommendation,classic,mehndi,wedding_vibes,autumn,male,ceremonial,daytime,p_000_classic_male
c_00223,occasion_recommendation,classic,mehndi,wedding_vibes,autumn,female,ceremonial,daytime,p_001_classic_female
c_00224,occasion_recommendation,classic,mehndi,wedding_vibes,winter,male,ceremonial,daytime,p_000_classic_male
c_00225,occasion_recommendation,classic,mehndi,wedding_vibes,winter,female,ceremonial,daytime,p_001_classic_female
c_00226,occasion_recommendation,minimalist,daily_office,work_mode,spring,male,smart_casual,daytime,p_002_minimalist_male
c_00227,occasion_recommendation,minimalist,daily_office,work_mode,spring,female,smart_casual,daytime,p_003_minimalist_female
c_00228,occasion_recommendation,minimalist,daily_office,work_mode,summer,male,smart_casual,daytime,p_002_minimalist_male
c_00229,occasion_recommendation,minimalist,daily_office,work_mode,summer,female,smart_casual,daytime,p_003_minimalist_female
c_00230,occasion_recommendation,minimalist,daily_office,work_mode,autumn,male,smart_casual,daytime,p_002_minimalist_male
c_00231,occasion_recommendation,minimalist,daily_office,work_mode,autumn,female,smart_casual,daytime,p_003_minimalist_female
c_00232,occasion_recommendation,minimalist,daily_office,work_mode,winter,male,smart_casual,daytime,p_002_minimalist_male
c_00233,occasion_recommendation,minimalist,daily_office,work_mode,winter,female,smart_casual,daytime,p_003_minimalist_female
c_00234,occasion_recommendation,minimalist,formal_office,work_mode,spring,male,formal,daytime,p_002_minimalist_male
c_00235,occasion_recommendation,minimalist,formal_office,work_mode,spring,female,formal,daytime,p_003_minimalist_female
c_00236,occasion_recommendation,minimalist,formal_office,work_mode,summer,male,formal,daytime,p_002_minimalist_male
c_00237,occasion_recommendation,minimalist,formal_office,work_mode,summer,female,formal,daytime,p_003_minimalist_female
c_00238,occasion_recommendation,minimalist,formal_office,work_mode,autumn,male,formal,daytime,p_002_minimalist_male
c_00239,occasion_recommendation,minimalist,formal_office,work_mode,autumn,female,formal,daytime,p_003_minimalist_female
c_00240,occasion_recommendation,minimalist,formal_office,work_mode,winter,male,formal,daytime,p_002_minimalist_male
c_00241,occasion_recommendation,minimalist,formal_office,work_mode,winter,female,formal,daytime,p_003_minimalist_female
c_00242,occasion_recommendation,minimalist,business_meeting,work_mode,spring,male,formal,daytime,p_002_minimalist_male
c_00243,occasion_recommendation,minimalist,business_meeting,work_mode,spring,female,formal,daytime,p_003_minimalist_female
c_00244,occasion_recommendation,minimalist,business_meeting,work_mode,summer,male,formal,daytime,p_002_minimalist_male
c_00245,occasion_recommendation,minimalist,business_meeting,work_mode,summer,female,formal,daytime,p_003_minimalist_female
c_00246,occasion_recommendation,minimalist,business_meeting,work_mode,autumn,male,formal,daytime,p_002_minimalist_male
c_00247,occasion_recommendation,minimalist,business_meeting,work_mode,autumn,female,formal,daytime,p_003_minimalist_female
c_00248,occasion_recommendation,minimalist,business_meeting,work_mode,winter,male,formal,daytime,p_002_minimalist_male
c_00249,occasion_recommendation,minimalist,business_meeting,work_mode,winter,female,formal,daytime,p_003_minimalist_female
c_00250,occasion_recommendation,minimalist,interview,work_mode,spring,male,formal,daytime,p_002_minimalist_male
c_00251,occasion_recommendation,minimalist,interview,work_mode,spring,female,formal,daytime,p_003_minimalist_female
c_00252,occasion_recommendation,minimalist,interview,work_mode,summer,male,formal,daytime,p_002_minimalist_male
c_00253,occasion_recommendation,minimalist,interview,work_mode,summer,female,formal,daytime,p_003_minimalist_female
c_00254,occasion_recommendation,minimalist,interview,work_mode,autumn,male,formal,daytime,p_002_minimalist_male
c_00255,occasion_recommendation,minimalist,interview,work_mode,autumn,female,formal,daytime,p_003_minimalist_female
c_00256,occasion_recommendation,minimalist,interview,work_mode,winter,male,formal,daytime,p_002_minimalist_male
c_00257,occasion_recommendation,minimalist,interview,work_mode,winter,female,formal,daytime,p_003_minimalist_female
c_00258,occasion_recommendation,minimalist,workplace_event,work_mode,spring,male,smart_casual,evening,p_002_minimalist_male
c_00259,occasion_recommendation,minimalist,workplace_event,work_mode,spring,female,smart_casual,evening,p_003_minimalist_female
c_00260,occasion_recommendation,minimalist,workplace_event,work_mode,summer,male,smart_casual,evening,p_002_minimalist_male
c_00261,occasion_recommendation,minimalist,workplace_event,work_mode,summer,female,smart_casual,evening,p_003_minimalist_female
c_00262,occasion_recommendation,minimalist,workplace_event,work_mode,autumn,male,smart_casual,evening,p_002_minimalist_male
c_00263,occasion_recommendation,minimalist,workplace_event,work_mode,autumn,female,smart_casual,evening,p_003_minimalist_female
c_00264,occasion_recommendation,minimalist,workplace_event,work_mode,winter,male,smart_casual,evening,p_002_minimalist_male
c_00265,occasion_recommendation,minimalist,workplace_event,work_mode,winter,female,smart_casual,evening,p_003_minimalist_female
c_00266,occasion_recommendation,minimalist,weekend_brunch,social_casual,spring,male,casual,daytime,p_002_minimalist_male
c_00267,occasion_recommendation,minimalist,weekend_brunch,social_casual,spring,female,casual,daytime,p_003_minimalist_female
c_00268,occasion_recommendation,minimalist,weekend_brunch,social_casual,summer,male,casual,daytime,p_002_minimalist_male
c_00269,occasion_recommendation,minimalist,weekend_brunch,social_casual,summer,female,casual,daytime,p_003_minimalist_female
