ID,Gender,Archetype,Secondary,Image Type,Intensity,Context,Tags,Flat Lay Description,Contextual Props,AI Generation Prompt,
P010,Female,Minimalist,—,Pure,Restrained,Neutral,"minimalist, pure, restrained, female","Soft minimalism — white linen oversized shirt, beige wide-leg trousers, nude flat sandals","Single ceramic bowl, linen cloth, on light wood surface","Overhead flat lay photograph, women's soft minimalist outfit, white linen oversized shirt folded gently, beige wide-leg linen trousers folded beside, nude leather flat sandals, arranged on light pale wood surface, single handmade ceramic bowl, natural linen cloth, very minimal props, soft diffused natural daylight, editorial styling, clean composition, high-end fashion photography, 4k, photorealistic",
P011,Female,Minimalist,—,Pure,Moderate,Neutral,"minimalist, pure, moderate, female","Clean minimalism — black silk camisole, high-waisted cream trousers, black pointed mules, thin gold chain","Matte white vase, single dried stem, on white marble surface","Overhead flat lay photograph, women's clean minimalist outfit, black silk camisole laid flat, high-waisted cream tailored trousers folded neatly, black pointed-toe mules, single thin delicate gold chain necklace, arranged on white marble surface, small matte white ceramic vase with single dried stem, very clean sparse composition, soft even natural daylight, editorial styling, high-end fashion photography, 4k, photorealistic",
P012,Female,Minimalist,—,Pure,Bold,Neutral,"minimalist, pure, bold, female","Architectural minimalism — oversized black wool cape-coat, black column dress underneath, black ankle boots, no accessories","Single white geometric sculpture, stark surface, dramatic shadow","Overhead flat lay photograph, women's bold architectural minimalist outfit, oversized black structured wool cape-coat laid dramatically, black column dress folded beneath, black leather ankle boots, zero accessories, arranged on stark white surface, single white geometric sculpture, dramatic directional lighting casting sharp shadows, extremely sparse composition, editorial styling, avant-garde fashion photography, 4k, photorealistic",
P013,Male,Romantic,—,Pure,Restrained,Neutral,"romantic, pure, restrained, male","Subtle romantic — soft pink oxford shirt, cream chinos, suede loafers in dusty rose, braided leather bracelet","Single dried rose, vintage paperback, on weathered white wood","Overhead flat lay photograph, men's subtle romantic outfit, soft dusty pink oxford shirt folded gently, cream cotton chinos folded beside, dusty rose suede loafers, thin braided leather bracelet, arranged on weathered white-washed wood surface, single dried pink rose, vintage paperback book with worn cover, warm soft natural daylight, editorial styling, gentle shadows, high-end lifestyle photography, 4k, photorealistic",
P014,Male,Romantic,—,Pure,Moderate,Neutral,"romantic, pure, moderate, male","Romantic gentleman — floral print shirt in muted tones, navy linen trousers, tan suede chelsea boots, pocket square with soft pattern","Dried lavender bunch, vintage compass, on aged linen cloth","Overhead flat lay photograph, men's romantic outfit, muted floral print button-down shirt in soft blues and blush tones laid flat, navy linen trousers folded neatly, tan suede chelsea boots, soft patterned pocket square, arranged on aged natural linen cloth, small bunch of dried lavender, vintage brass compass, warm golden natural daylight, editorial styling, high-end fashion photography, 4k, photorealistic",
P015,Male,Romantic,—,Pure,Bold,Neutral,"romantic, pure, bold, male","Full romantic — velvet blazer in deep burgundy, ruffled-front white shirt, dark floral tie, slim dark trousers","Antique pocket watch, full blown rose, silk ribbon, on dark velvet surface","Overhead flat lay photograph, men's bold romantic outfit, deep burgundy velvet blazer laid flat, white shirt with subtle ruffle front detail, dark floral silk tie, slim dark trousers, arranged on dark velvet surface, antique gold pocket watch, fully bloomed deep red rose, silk ribbon, warm dramatic golden lighting, editorial styling, rich textures, luxury fashion photography, 4k, photorealistic",
P016,Female,Romantic,—,Pure,Restrained,Neutral,"romantic, pure, restrained, female","Subtle romantic — soft blush knit cardigan, cream silk camisole, midi skirt in dusty rose, ballet flats","Single peony, pearl hair clip, on soft pink surface","Overhead flat lay photograph, women's subtle romantic outfit, soft blush pink knit cardigan folded gently, cream silk camisole, dusty rose midi skirt, nude ballet flats, arranged on soft pink linen surface, single blush peony, small pearl hair clip, warm soft natural daylight, editorial styling, very gentle shadows, high-end lifestyle photography, 4k, photorealistic",GPT
P017,Female,Romantic,—,Pure,Moderate,Neutral,"romantic, pure, moderate, female","Romantic feminine — floral midi dress in soft watercolor print, delicate gold necklace, nude strappy sandals, small structured bag in blush","Dried peonies, vintage perfume bottle, silk ribbon on antique white surface","Overhead flat lay photograph, women's romantic outfit, watercolor floral print midi dress in soft pinks and greens laid beautifully, delicate layered gold necklace, nude strappy heeled sandals, small structured blush leather bag, arranged on antique white painted wood surface, bunch of dried pink peonies, vintage glass perfume bottle, silk ribbon, warm golden natural daylight, editorial styling, high-end fashion photography, 4k, photorealistic",Gemini
P018,Female,Romantic,—,Pure,Bold,Neutral,"romantic, pure, bold, female","Full romantic — off-shoulder lace blouse in ivory, tulle midi skirt in dusty mauve, embellished heels, chandelier earrings","Full bouquet of garden roses, antique hand mirror, on draped silk fabric surface","Overhead flat lay photograph, women's bold romantic outfit, ivory off-shoulder lace blouse laid flat with delicate detail visible, dusty mauve tulle midi skirt arranged with volume, embellished pointed heels, crystal chandelier drop earrings, arranged on draped champagne silk fabric, full bouquet of garden roses in pink and cream, antique silver hand mirror, warm dramatic golden lighting, editorial styling, luxury fashion photography, 4k, photorealistic",
P019,Male,Natural,—,Pure,Restrained,Neutral,"natural, pure, restrained, male","Easy natural — washed cotton tee in sage green, khaki shorts, canvas sneakers, woven friendship bracelet","Small succulent, smooth river stone, on raw cotton cloth","Overhead flat lay photograph, men's easy natural outfit, washed sage green cotton tee folded casually, khaki cotton shorts folded beside, off-white canvas sneakers, simple woven friendship bracelet, arranged on raw unbleached cotton cloth, small succulent in terracotta pot, smooth grey river stone, warm natural daylight, casual editorial styling, relaxed composition, high-end lifestyle photography, 4k, photorealistic",llmarena
P020,Male,Natural,—,Pure,Moderate,Neutral,"natural, pure, moderate, male","Earthy natural — oatmeal linen shirt, olive green cotton trousers, brown leather sandals, woven belt","Dried herbs bundle, handmade pottery mug, woven basket edge, on raw wood surface","Overhead flat lay photograph, men's earthy natural outfit, oatmeal linen button-down shirt folded gently, olive green cotton trousers folded beside, brown leather sandals, woven leather belt, arranged on raw pale wood surface, small bundle of dried herbs, handmade speckled pottery mug, edge of woven basket visible, warm natural daylight, editorial styling, organic feel, high-end lifestyle photography, 4k, photorealistic",
P021,Male,Natural,—,Pure,Bold,Neutral,"natural, pure, bold, male","Deep natural — heavy linen overshirt in rust, undyed hemp tee, raw denim, handwoven scarf, leather work boots","Dried wheat stalks, wooden bowl, raw clay, on reclaimed barn wood surface","Overhead flat lay photograph, men's committed natural outfit, heavy rust linen overshirt laid flat, undyed natural hemp tee, raw selvedge denim folded, handwoven earth-tone scarf, brown leather work boots, arranged on reclaimed barn wood surface, bundle of dried wheat stalks, carved wooden bowl, piece of raw unglazed clay, warm golden natural daylight, editorial styling, artisan feel, high-end lifestyle photography, 4k, photorealistic",
P022,Female,Natural,—,Pure,Restrained,Neutral,"natural, pure, restrained, female","Easy natural — white cotton tee, faded denim shorts, tan leather slides, simple wooden bead bracelet","Small potted herb, cotton tote corner visible, on light wood surface","Overhead flat lay photograph, women's easy natural outfit, white cotton tee folded casually, faded light denim shorts folded beside, tan leather slide sandals, simple wooden bead bracelet, arranged on light birch wood surface, small potted rosemary plant, corner of natural cotton tote bag visible, warm natural daylight, casual editorial styling, relaxed composition, high-end lifestyle photography, 4k, photorealistic",
P023,Female,Natural,—,Pure,Moderate,Neutral,"natural, pure, moderate, female","Earthy natural — loose linen dress in warm terracotta, woven leather belt, tan leather sandals, wooden hoop earrings","Ceramic vase with dried grasses, woven basket, on raw cotton cloth over wood","Overhead flat lay photograph, women's earthy natural outfit, warm terracotta loose linen dress laid flat with drape visible, woven leather waist belt, tan leather strappy sandals, wooden hoop earrings, arranged on raw cotton cloth over natural wood surface, ceramic vase with dried pampas grass, small woven basket, warm natural daylight, editorial styling, organic feel, high-end lifestyle photography, 4k, photorealistic",llmarena gemini
P024,Female,Natural,—,Pure,Bold,Neutral,"natural, pure, bold, female","Deep natural — chunky handknit cardigan in oatmeal, hemp maxi dress in earth brown, leather wrap sandals, layered wooden and stone jewelry","Dried botanical arrangement, clay pot, raw linen, on weathered reclaimed wood","Overhead flat lay photograph, women's committed natural outfit, chunky hand-knit oatmeal wool cardigan laid with texture visible, earth brown hemp maxi dress folded beneath, leather wraParound sandals, layered wooden bead and raw stone necklaces, arranged on weathered reclaimed wood surface, dried botanical arrangement in handmade clay pot, raw linen cloth, warm golden natural daylight, editorial styling, artisan craft feel, high-end lifestyle photography, 4k, photorealistic",
P025,Male,Creative,—,Pure,Restrained,Neutral,"creative, pure, restrained, male","Subtle creative — color-blocked sweater in muted tones, unexpected trouser color (olive), patterned socks, suede shoes in unusual tone","Art postcard, colored pencil, small ceramic figure, on painted surface","Overhead flat lay photograph, men's subtly creative outfit, color-blocked knit sweater in muted terracotta and dusty blue folded neatly, olive cotton trousers, patterned striped socks, dusty pink suede derby shoes, arranged on muted painted surface, vintage art postcard, single colored pencil, small abstract ceramic figurine, warm natural daylight, editorial styling, curated composition, high-end fashion photography, 4k, photorealistic",
P026,Male,Creative,—,Pure,Moderate,Neutral,"creative, pure, moderate, male","Creative expression — printed camPcollar shirt in mixed pattern, contrasting chinos in mustard, bold-frame glasses, patterned canvas sneakers","Paint tubes scattered, stacked art books, colorful ceramics, on patterned fabric","Overhead flat lay photograph, men's creative outfit, boldly printed camPcollar shirt in mixed geometric and botanical pattern laid flat, mustard cotton chinos folded beside, thick-frame tortoiseshell glasses, patterned canvas sneakers, arranged on vibrant patterned fabric surface, scattered paint tubes, stack of art books, small colorful ceramic objects, warm bright natural daylight, editorial styling, energetic composition, high-end fashion photography, 4k, photorealistic",
P027,Male,Creative,—,Pure,Bold,Neutral,"creative, pure, bold, male","Full creative — clashing patterns on shirt and trousers, bright unexpected color combination, deconstructed jacket, art-print accessories","Spray paint cans, art zines, paint palette, on splattered canvas surface","Overhead flat lay photograph, men's bold creative outfit, clashing patterned oversized shirt in vibrant abstract print, contrasting patterned trousers in bold color, deconstructed asymmetric jacket, art-print tote bag, arranged on paint-splattered canvas surface, colorful spray paint cans, stacked art zines, used paint palette, bright dynamic natural daylight, editorial styling, maximalist energetic composition, high-end fashion photography, 4k, photorealistic",
P028,Female,Creative,—,Pure,Restrained,Neutral,"creative, pure, restrained, female","Subtle creative — unexpected color pairing skirt and top (lavender with olive), interesting texture mix, one quirky accessory","Watercolor set, illustrated postcard, on light painted wood","Overhead flat lay photograph, women's subtly creative outfit, lavender knit top folded neatly, olive green pleated midi skirt, textured woven mules in warm tone, one quirky beaded brooch, arranged on light painted wood surface, small watercolor paint set, illustrated vintage postcard, warm natural daylight, editorial styling, curated whimsical composition, high-end fashion photography, 4k, photorealistic",
P029,Female,Creative,—,Pure,Moderate,Neutral,"creative, pure, moderate, female","Creative expression — mixed-print midi dress, colored tights, platform shoes in unexpected color, layered eclectic jewelry","Art books, colorful bangles scattered, fabric scraps, on richly patterned surface","Overhead flat lay photograph, women's creative outfit, mixed-print midi dress in vibrant colors and patterns laid beautifully, colored tights in contrasting hue, platform shoes in unexpected coral color, layered eclectic bead and chain necklaces, arranged on richly patterned textile surface, stacked art books, scattered colorful bangles, vintage fabric scraps, warm bright natural daylight, editorial styling, maximalist curated composition, high-end fashion photography, 4k, photorealistic",
P030,Female,Creative,—,Pure,Bold,Neutral,"creative, pure, bold, female","Full creative — clashing prints head-to-toe, asymmetric silhouette pieces, bold color explosion, statement handmade jewelry","Paint palette, art supplies explosion, handmade objects, on heavily layered textile surface","Overhead flat lay photograph, women's bold creative outfit, clashing patterned asymmetric top in bright abstract print, contrasting patterned wide-leg trousers, sculptural platform shoes, oversized handmade statement necklace, arranged on heavily layered colorful textile surface, artist paint palette, scattered brushes and art supplies, handmade ceramic objects, bright dynamic natural daylight, editorial styling, explosive maximalist composition, high-end fashion photography, 4k, photorealistic",
P031,Male,Edgy,—,Pure,Restrained,Neutral,"edgy, pure, restrained, male","Soft edgy — black cotton tee, dark grey slim jeans, black leather Chelsea boots, thin silver chain","Worn leather journal, matte black lighter, on dark concrete surface","Overhead flat lay photograph, men's soft edgy outfit, black cotton tee folded precisely, dark grey slim-fit jeans folded beside, black leather Chelsea boots, thin silver chain necklace, arranged on dark concrete surface, worn black leather journal, matte black zippo lighter, subtle moody natural daylight, editorial styling, dark minimal composition, high-end fashion photography, 4k, photorealistic",
P032,Male,Edgy,—,Pure,Moderate,Neutral,"edgy, pure, moderate, male","Core edgy — black leather biker jacket, black band tee, black skinny jeans, silver-hardware combat boots, silver rings","Chain, dark metal objects, vinyl record edge, on matte black industrial surface","Overhead flat lay photograph, men's edgy outfit, black leather biker jacket laid flat showing hardware, black graphic band tee, black skinny jeans, silver-hardware combat boots, collection of silver rings, arranged on matte black industrial metal surface, heavy silver chain, dark patina metal objects, edge of vinyl record visible, moody directional lighting, editorial styling, dark industrial composition, high-end fashion photography, 4k, photorealistic",
P033,Male,Edgy,—,Pure,Bold,Neutral,"edgy, pure, bold, male","Full edgy — studded leather jacket, distressed mesh top, coated black jeans, platform boots with buckles, heavy silver jewelry","Spiked accessories, dark chains, torn fabric, on raw industrial metal surface","Overhead flat lay photograph, men's bold edgy outfit, heavily studded black leather jacket laid flat showing all hardware, distressed black mesh top, coated black skinny jeans, tall platform boots with multiple buckles, heavy silver skull ring and chain bracelet, arranged on raw industrial metal surface, spiked wristband, dark heavy chains, torn black fabric, dramatic harsh directional lighting, editorial styling, aggressive industrial composition, high-end fashion photography, 4k, photorealistic",
P034,Female,Edgy,—,Pure,Restrained,Neutral,"edgy, pure, restrained, female","Soft edgy — black silk camisole, dark grey leather-look leggings, black ankle boots with small buckle, delicate silver ear cuff","Matte black candle, small silver ring dish, on dark slate surface","Overhead flat lay photograph, women's soft edgy outfit, black silk camisole laid flat, dark grey leather-look leggings folded beside, black ankle boots with small silver buckle, delicate silver ear cuff, arranged on dark natural slate surface, matte black pillar candle, small silver ring dish, subtle moody natural daylight, editorial styling, dark minimal composition, high-end fashion photography, 4k, photorealistic",
P035,Female,Edgy,—,Pure,Moderate,Neutral,"edgy, pure, moderate, female","Core edgy — black leather moto jacket, black lace-trim top, dark coated skinny jeans, pointed-toe black boots with silver hardware, layered chains","Dark sunglasses, silver hardware pieces, black roses, on dark industrial surface","Overhead flat lay photograph, women's edgy outfit, black leather moto jacket laid flat showing asymmetric zip and hardware, black lace-trim camisole, dark coated skinny jeans, pointed-toe black boots with silver hardware, layered silver chain necklaces, arranged on dark industrial metal surface, black angular sunglasses, silver hardware pieces, single black-dyed rose, moody directional lighting, editorial styling, dark industrial composition, high-end fashion photography, 4k, photorealistic",
P036,Female,Edgy,—,Pure,Bold,Neutral,"edgy, pure, bold, female","Full edgy — studded cropped leather jacket, mesh and leather corset top, distressed black skirt, thigh-high boots, heavy chains and cuffs","Spiked accessories, safety pins, dark chains, on raw metal with scratches","Overhead flat lay photograph, women's bold edgy outfit, studded cropped black leather jacket, mesh panel and leather corset-style top, distressed black mini skirt, black thigh-high boots, heavy silver chain choker and spiked cuff bracelet, arranged on scratched raw metal surface, safety pins scattered, dark heavy chains, spiked accessories, dramatic harsh directional lighting, editorial styling, aggressive industrial composition, high-end fashion photography, 4k, photorealistic",
P037,Male,Dramatic,—,Pure,Restrained,Neutral,"dramatic, pure, restrained, male","Quiet dramatic — all-black tonal outfit, black turtleneck, black tailored trousers, subtle difference in texture between pieces","Single geometric object, on matte black surface with subtle shadow","Overhead flat lay photograph, men's quiet dramatic outfit, black merino turtleneck folded precisely, black tailored wool trousers with subtle texture difference, black leather dress boots, arranged on matte dark surface, single black geometric angular object, subtle dramatic shadow, restrained but powerful composition, soft directional lighting, editorial styling, high-end fashion photography, 4k, photorealistic",
P038,Male,Dramatic,—,Pure,Moderate,Neutral,"dramatic, pure, moderate, male","Architectural dramatic — strong-shouldered black overcoat, monochrome layering underneath, wide-leg trousers, statement boots","Geometric sculpture, sharPangled objects, on stark contrasting surface","Overhead flat lay photograph, men's dramatic outfit, strong-shouldered structured black wool overcoat laid flat emphasizing shoulder line, black mock-neck knit, charcoal wide-leg tailored trousers, chunky black leather statement boots, arranged on stark white surface creating high contrast, small geometric metal sculpture, angular objects, dramatic directional lighting with sharp shadows, bold editorial styling, high-end fashion photography, 4k, photorealistic",
P039,Male,Dramatic,—,Pure,Bold,Neutral,"dramatic, pure, bold, male","Maximum dramatic — floor-length structured coat, exaggerated proportions, all black with one stark white element, oversized everything","Large angular sculpture, extreme shadow, on pure white surface","Overhead flat lay photograph, men's bold dramatic outfit, floor-length structured black wool coat laid flat spanning the frame, oversized black tailored trousers, stark white shirt as single contrast element, chunky architectural sole boots, arranged on pure white surface, large angular black sculpture, extreme dramatic shadows, maximally bold composition, harsh directional lighting, avant-garde editorial styling, high-end fashion photography, 4k, photorealistic",
P040,Female,Dramatic,—,Pure,Restrained,Neutral,"dramatic, pure, restrained, female","Quiet dramatic — all-black tonal outfit, structured black blouse, black wide-leg trousers, subtle shoulder emphasis, single bold earring","Single angular object, on dark surface with controlled shadow","Overhead flat lay photograph, women's quiet dramatic outfit, structured black silk blouse with subtle shoulder emphasis folded precisely, black wide-leg wool trousers, pointed-toe black heels, single bold geometric gold earring, arranged on dark matte surface, single angular metallic object, controlled dramatic shadow, restrained powerful composition, soft directional lighting, editorial styling, high-end fashion photography, 4k, photorealistic",GPT
P041,Female,Dramatic,—,Pure,Moderate,Neutral,"dramatic, pure, moderate, female","Architectural dramatic — sculptural-shouldered black blazer, column dress underneath, statement belt, sharPtoe boots","Geometric sculpture, angular objects, dramatic shadow, on stark surface","Overhead flat lay photograph, women's dramatic outfit, sculptural-shouldered black blazer with exaggerated shoulder line laid flat, black column dress folded beneath, wide statement silver belt, sharPpointed-toe black boots, arranged on stark white surface creating high contrast, geometric metal sculpture, angular objects, dramatic directional lighting with sharp shadows, bold editorial styling, high-end fashion photography, 4k, photorealistic",
P042,Female,Dramatic,—,Pure,Bold,Neutral,"dramatic, pure, bold, female","Maximum dramatic — floor-length cape coat, avant-garde silhouette, monochrome with extreme proportions, sculptural shoes","Large abstract sculpture, extreme shadow play, on pure white surface","Overhead flat lay photograph, women's bold dramatic outfit, floor-length structured cape coat in black laid dramatically spanning frame, avant-garde asymmetric dress beneath, sculptural platform heels, single oversized geometric cuff, arranged on pure white surface, large abstract black sculpture, extreme dramatic shadow play, maximally bold composition, harsh directional lighting, avant-garde editorial styling, high-end fashion photography, 4k, photorealistic",
P043,Male,Sporty,—,Pure,Restrained,Neutral,"sporty, pure, restrained, male","Casual sporty — clean grey cotton hoodie, navy jogger trousers, white low-top sneakers, simple rubber watch","Water bottle, clean towel fold, on light rubber surface","Overhead flat lay photograph, men's casual sporty outfit, clean heather grey cotton hoodie folded neatly, navy slim jogger trousers folded beside, white low-top leather sneakers, simple black rubber-strap watch, arranged on light grey rubber mat surface, stainless steel water bottle, neatly folded small white towel, clean bright natural daylight, editorial styling, fresh clean composition, high-end lifestyle photography, 4k, photorealistic",
P044,Male,Sporty,—,Pure,Moderate,Neutral,"sporty, pure, moderate, male","Athletic leisure — ziPfront track jacket in navy, performance tee in grey, tapered joggers, premium running sneakers","Stainless water bottle, wireless earbuds case, on clean light surface","Overhead flat lay photograph, men's athletic leisure outfit, navy ziPfront track jacket with subtle stripe detail laid flat, grey performance tee, tapered black jogger trousers, premium running sneakers in white and grey, arranged on clean light grey surface, brushed steel water bottle, white wireless earbuds case, clean bright natural daylight, editorial styling, sporty fresh composition, high-end fashion photography, 4k, photorealistic",
P045,Male,Sporty,—,Pure,Bold,Neutral,"sporty, pure, bold, male","Statement sporty — bold color-blocked windbreaker, compression-fit performance tee, sleek running tights, high-tech sneakers in bright colorway","Premium gym bag corner, fitness tracker, on clean technical surface","Overhead flat lay photograph, men's bold sporty outfit, color-blocked windbreaker in black and electric blue laid flat, black compression-fit performance tee, sleek black running tights, high-tech sneakers in bright blue and white colorway, arranged on clean technical surface, corner of premium black gym bag, fitness tracker watch, dynamic bright natural daylight, editorial styling, energetic bold composition, high-end fashion photography, 4k, photorealistic",
P046,Female,Sporty,—,Pure,Restrained,Neutral,"sporty, pure, restrained, female","Casual sporty — soft cropped sweatshirt in blush, high-waisted leggings in black, clean white sneakers, simple ponytail scrunchie","Pastel water bottle, small towel, on light yoga mat surface","Overhead flat lay photograph, women's casual sporty outfit, soft cropped blush pink sweatshirt folded neatly, black high-waisted leggings folded beside, clean white leather sneakers, simple velvet scrunchie, arranged on light pink yoga mat surface, pastel pink water bottle, small folded white towel, clean bright natural daylight, editorial styling, fresh soft composition, high-end lifestyle photography, 4k, photorealistic",
P047,Female,Sporty,—,Pure,Moderate,Neutral,"sporty, pure, moderate, female","Athletic leisure — sleek ziPup jacket in charcoal, performance tank in white, high-waisted sculpt leggings, premium sneakers","Steel water bottle, wireless earbuds, on clean light surface","Overhead flat lay photograph, women's athletic leisure outfit, sleek charcoal ziPup performance jacket laid flat, white racerback performance tank, high-waisted black sculpt leggings, premium white and grey running sneakers, arranged on clean light grey surface, brushed steel water bottle, white wireless earbuds case, clean bright natural daylight, editorial styling, sporty polished composition, high-end fashion photography, 4k, photorealistic",
P048,Female,Sporty,—,Pure,Bold,Neutral,"sporty, pure, bold, female","Statement sporty — bold color-blocked sports bra and matching leggings set, oversized mesh layering top, chunky fashion sneakers in bright colorway","Premium gym bag, bright accessories, on dynamic surface","Overhead flat lay photograph, women's bold sporty outfit, color-blocked sports bra in bright coral and black, matching high-waisted leggings, oversized white mesh layering top, chunky fashion sneakers in coral and white, arranged on clean dynamic surface, premium black gym bag corner visible, bright coral resistance band, dynamic bright natural daylight, editorial styling, energetic bold composition, high-end fashion photography, 4k, photorealistic",llmarena gemini
BLEND IMAGES — 24 images (12 adjacent pairs × 2 genders),,,,,,,,,,,
P049,Male,Classic,Minimalist,Blend,Moderate,Neutral,"classic, minimalist, blend, male","Tailored but stripped back — unstructured navy blazer, white tee, grey trousers, clean white sneakers. Heritage quality, zero embellishment","Single quality notebook, on clean light surface","Overhead flat lay photograph, men's classic-minimalist blend outfit, unstructured navy cotton blazer laid flat, plain white premium cotton tee, medium grey tailored trousers, clean white leather minimalist sneakers, arranged on clean light grey surface, single quality leather notebook, very sparse clean composition, warm natural daylight, editorial styling, refined simplicity, high-end fashion photography, 4k, photorealistic",
P050,Female,Classic,Minimalist,Blend,Moderate,Neutral,"classic, minimalist, blend, female","Refined simplicity — cream cashmere sweater, tailored black trousers, nude pointed flats, single gold bangle","Quality leather card case, on white marble surface","Overhead flat lay photograph, women's classic-minimalist blend outfit, cream cashmere crew-neck sweater folded precisely, tailored black wool trousers, nude pointed-toe leather flats, single thin gold bangle, arranged on white marble surface, quality tan leather card case, very sparse refined composition, warm natural daylight, editorial styling, quiet luxury, high-end fashion photography, 4k, photorealistic",
